Last Name,First Name,Gender,White?,Number of Books,Books,Overall Rating,Readings
Wagers,K.B.,Nonbinary,checked,1,Behind the Throne,2.0,
Harrow,Alix,Female,,1,The Ten Thousand Doors of January,2.0,
Merbeth,Kristyn,Female,checked,1,Fortuna,2.0,
Rowland,Alexandra,Nonbinary,,1,A Conspiracy of Truths,2.0,
McCulloch,Gretchen,Female,checked,1,Because Internet,2.0,
Wynne Jones,Diana,Female,checked,3,"Charmed Life,The Lives of Christopher Chant,Conrad's Fate",2.0,
Emezi,Akwaeke,Nonbinary,,1,Freshwater,NaN,
Johnston,E. K. ,Female,checked,1,The Story of Owen,2.0,
Chevalier,Tracy,Female,checked,1,A Single Thread,2.0,
Dunkle,Clare,Female,checked,1,The Hollow Kingdom,2.0,
Oh,Temi,Female,,1,Do You Dream of Terra-Two?,2.0,
Wilson,Robert Charles,Male,checked,3,"Spin,Axis,Vortex",2.0,
El-Mohtar,Amal,Female,,1,This Is How You Lose The Time War,2.0,
Wilson,G. Willow,Female,checked,1,The Bird King,NaN,
Turnbull,Cadwell,Male,,1,The Lesson,2.0,
Bellamy,Edward,Male,checked,1,Looking Backward,2.0,
Chabon,Michael,Male,checked,1,The Yiddish Policeman’s Union,3.0,
McMullen,Sean,Male,checked,1,Souls in the Great Machine,1.0,
Young,Suzanne,Female,checked,1,Girls with Sharp Sticks,1.0,
Nouwen,Henri,Male,checked,1,Discernment,2.0,
Lee,Eeleen,Female,,1,Liquid Crystal Nightingale,NaN,
Lee,Cory,,,1,Weave the Lightning,NaN,
Muir,Tamsyn,Female,checked,1,Gideon the Ninth,1.0,
Stoecklin,Tina,Female,,1,Change-Ringing on Handbells,3.0,
Gay,Simon,Male,,1,Change-Ringing on Handbells,3.0,
Pears,Ian,Male,checked,1,An Instance of the Fingerpost,NaN,
Winter,Evan ,Male,,1,The Rage of Dragons,NaN,
Serpell,Namwalli,Female,,1,The Old Drift,NaN,
